Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Custom field (Source),Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,3 - Medium,PLAT-24237,22601856,AMLOPT 'New Parameter Optimization' : Scenario Model Details Query performance issue ,MCashman,Norkom QA,MZielinska,In Progress,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,AMLOPT 1.1,13/Jul/2022 12:50 PM,
Defect,3 - Medium,PLAT-24236,22601530,Graphical view on transactions malfunctioned,Pnolan,Norkom QA,DKnyazev,New,,,,,,,,,,,,,,,,,,,,,,,8.2,8.4.1,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.2.0.19,12/Jul/2022 09:05 AM,
Defect,3 - Medium,PLAT-24232,22601317,list-csv-eim.vm used on multiple screens is not displaying any data,dkopec,Norkom QA,dkopec,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,8.4,08/Jul/2022 11:47 AM,Project Config Issue
Defect,3 - Medium,PLAT-24231,22601133,Issue with 'Export Summary View' on Command & Control Reports,michelle.chan,Norkom Services,michelle.chan,Need More Info,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Command and Control,,,,,8.4,07/Jul/2022 06:25 AM,
Defect,3 - Medium,PLAT-24230,22601132,reserved.function.call.DBJsonValue does not work with PostgreSQL,Pnolan,Norkom QA,JCole,New,8.4,8.4.1,9.0,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.4.0.2,07/Jul/2022 05:53 AM,
Defect,3 - Medium,PLAT-24229,22601052,SWIFT/NSS Alerts are able to access by two users,CBandara,Norkom QA,amirul.razak,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Other,,,,,7.2.1.53,06/Jul/2022 05:00 AM,
Defect,3 - Medium,PLAT-24227,22600788,Invalid Swift MX Transaction Tag it return null ,EFitzgerald,Norkom QA,YWong1,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,8.1.0.14,04/Jul/2022 09:55 AM,
Defect,3 - Medium,PLAT-24226,22600787,Inconsistent Response Message From Swift MX,Pnolan,Norkom QA,YWong1,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,8.1.0.14,04/Jul/2022 09:49 AM,
Defect,1 - Critical,PLAT-24224,22600496,When building consecultively wc indexes we get crash,TRomano,AXA,TRomano,Need More Info,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.2.0.21,28/Jun/2022 02:57 PM,
Defect,3 - Medium,PLAT-24223,22600472,Copy Group functionality does not reliably update UNIQUE_KEYS entry for GRP_ORG_DOM_ROLES_RELATIONS table,Pnolan,Norkom QA,CHall,New,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,8.3.0.6,28/Jun/2022 12:28 PM,
Defect,3 - Medium,PLAT-24222,22600369,SMBD - Alert Raised with Duplicate Amount of Past 12 Months Accumulated Amount,EBaggott,Norkom QA,JDelescluse,Under Analysis,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,SMBD,,,,, 8.0.1.11,27/Jun/2022 10:00 AM,
Defect,3 - Medium,PLAT-24233,22600341,Cannot export to excel from Group Work -> Search Watchlist Manager list section,Pnolan,Norkom QA,HGough,Assigned,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.37,27/Jun/2022 09:22 AM,
Defect,2 - High,PLAT-24221,22600299,CLONE - WLM alerts-YOB is not showing correctly,EFitzgerald,Fifth Third,SPenta,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,Watchlist Manager,,,,8.1,24/Jun/2022 04:18 PM,
Defect,2 - High,PLAT-24219,22600216,[NYCH-66] - Profiler job did not complete successfully this morning,TMurphy,Norkom QA,KYalamarthi,New,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,8.0.1.3,23/Jun/2022 04:21 PM,
Defect,4 - Low,PLAT-24218,22600149,Organisational Unit dropdown displays disabled org units,,Norkom Services,nbird,New,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Scenario Manager Detection UX,,,,,8.4.1.0,23/Jun/2022 08:47 AM,
